Date,Stock Name,Open,High,Low,Close,Adj Close,Volume,Mean_Sentiment_Score,Median_Sentiment_Score,Total_Sentiment_Score,Total_Sentiment_Negative,Total_Sentiment_Neutral,Total_Sentiment_Positive
2022-07-27,GOOG,109.5999984741211,114.4000015258789,108.41999816894533,113.5999984741211,113.5999984741211,41474600,0.09406923076923078,0.2263,1.2229,5.0,1.0,7.0
2022-07-28,GOOG,112.8000030517578,114.6999969482422,111.85099792480467,114.58999633789062,114.58999633789062,23303800,0.40222857142857144,0.4215,2.8156,0.0,3.0,4.0
2022-07-29,GOOG,113.4000015258789,116.9000015258789,113.2300033569336,116.63999938964844,116.63999938964844,31336200,0.51315,0.5670499999999999,3.0789,0.0,1.0,5.0
2022-08-01,GOOG,115.52999877929688,117.12000274658205,114.69000244140624,115.4800033569336,115.4800033569336,22856200,,,,,,
2022-08-02,GOOG,114.43000030517578,117.08000183105467,114.26000213623048,115.9000015258789,115.9000015258789,17911000,,,,,,
2022-08-03,GOOG,116.33999633789062,119.41999816894533,116.1500015258789,118.77999877929688,118.77999877929688,25302800,0.08885,0.17,0.3554,1.0,1.0,2.0
2022-08-04,GOOG,118.3000030517578,119.5,117.70999908447266,118.87000274658205,118.87000274658205,15757700,0.148,0.148,0.296,0.0,1.0,1.0
2022-08-05,GOOG,116.93000030517578,118.86000061035156,116.70999908447266,118.22000122070312,118.22000122070312,15615700,,,,,,
2022-08-08,GOOG,119.12000274658205,120.86000061035156,117.83000183105467,118.13999938964844,118.13999938964844,17061100,-0.25,-0.25,-0.25,1.0,0.0,0.0
2022-08-09,GOOG,117.98999786376952,118.1999969482422,116.55999755859376,117.5,117.5,15424300,0.29886666666666667,0.2369,1.7932000000000001,0.0,3.0,3.0
2022-08-10,GOOG,119.58999633789062,121.77999877929688,119.36000061035156,120.6500015258789,120.6500015258789,20497000,0.28626666666666667,0.3741,1.7176,0.0,2.0,4.0
2022-08-11,GOOG,122.08000183105467,122.33999633789062,119.5500030517578,119.81999969482422,119.81999969482422,16671600,0.2744666666666667,0.4019,0.8234,1.0,0.0,2.0
2022-08-12,GOOG,121.16000366210938,122.6500015258789,120.4000015258789,122.6500015258789,122.6500015258789,16121100,-0.018633333333333325,0.0,-0.05589999999999998,1.0,1.0,1.0
2022-08-15,GOOG,122.20999908447266,123.26000213623048,121.56999969482422,122.87999725341795,122.87999725341795,15525000,0.8107,0.8107,0.8107,0.0,0.0,1.0
2022-08-16,GOOG,122.31999969482422,123.22799682617188,121.53500366210938,122.51000213623048,122.51000213623048,15626200,0.20555,0.2023,0.8222,1.0,0.0,3.0
2022-08-17,GOOG,120.93000030517578,122.1500015258789,120.1999969482422,120.31999969482422,120.31999969482422,17589200,0.0,0.0,0.0,0.0,1.0,0.0
2022-08-18,GOOG,120.2300033569336,121.69000244140624,119.5500030517578,120.86000061035156,120.86000061035156,15652000,0.1422,0.2003,0.4266,0.0,1.0,2.0
2022-08-19,GOOG,119.87000274658205,120.0,117.66999816894533,118.12000274658205,118.12000274658205,20187000,0.6249,0.6249,0.6249,0.0,0.0,1.0
2022-08-22,GOOG,116.0999984741211,116.5,114.66999816894533,115.06999969482422,115.06999969482422,19316000,-0.17,-0.17,-0.34,1.0,1.0,0.0
2022-08-23,GOOG,114.31999969482422,115.93000030517578,114.3000030517578,114.7699966430664,114.7699966430664,14390700,0.1591,0.1591,0.3182,0.0,1.0,1.0
2022-08-24,GOOG,114.4499969482422,115.71700286865234,113.77999877929688,114.6999969482422,114.6999969482422,16051200,0.4215,0.4215,0.4215,0.0,0.0,1.0
2022-08-25,GOOG,115.1500015258789,117.77999877929688,115.0500030517578,117.6999969482422,117.6999969482422,14874700,0.0,0.0,0.0,0.0,1.0,0.0
2022-08-26,GOOG,115.80999755859376,116.5999984741211,111.22000122070312,111.3000030517578,111.3000030517578,31698700,0.46615,0.46615,0.9323,0.0,1.0,1.0
2022-08-29,GOOG,110.77999877929688,111.95999908447266,109.80999755859376,110.33999633789062,110.33999633789062,20386100,0.7003,0.7003,0.7003,0.0,0.0,1.0
2022-08-30,GOOG,111.02999877929688,111.37000274658205,108.8000030517578,109.91000366210938,109.91000366210938,20548200,0.22962,0.0,1.1481,1.0,2.0,2.0
2022-08-31,GOOG,111.62999725341795,111.7699966430664,109.0500030517578,109.1500015258789,109.1500015258789,25898000,0.39433333333333337,0.2732,1.183,0.0,1.0,2.0
2022-09-01,GOOG,109.1999969482422,111.22000122070312,108.19000244140624,110.5500030517578,110.5500030517578,22784400,0.0,0.0,0.0,0.0,1.0,0.0
2022-09-02,GOOG,111.33999633789062,111.6750030517578,108.12999725341795,108.68000030517578,108.68000030517578,20618100,0.49920000000000003,0.5563,1.4976,0.0,1.0,2.0
2022-09-06,GOOG,108.13500213623048,108.87999725341795,106.51000213623048,107.4800033569336,107.4800033569336,20565100,0.4588,0.4588,0.4588,0.0,0.0,1.0
2022-09-07,GOOG,107.76000213623048,110.98999786376952,107.61499786376952,110.4800033569336,110.4800033569336,22987200,0.0,0.0,0.0,0.0,3.0,0.0
2022-09-08,GOOG,109.18000030517578,110.58000183105467,108.05999755859376,109.41999816894533,109.41999816894533,21660700,0.0,0.0,0.0,0.0,2.0,0.0
2022-09-09,GOOG,110.0500030517578,112.0,110.0,111.77999877929688,111.77999877929688,21732900,0.5106,0.5106,0.5106,0.0,0.0,1.0
2022-09-12,GOOG,111.98999786376952,112.63999938964844,110.93000030517578,111.87000274658205,111.87000274658205,19732900,0.48699999999999993,0.5766,1.4609999999999999,0.0,1.0,2.0
2022-09-13,GOOG,108.88999938964844,109.37000274658205,105.0,105.30999755859376,105.30999755859376,33015000,0.0,0.0,0.0,0.0,4.0,0.0
2022-09-14,GOOG,105.44000244140624,106.0999984741211,104.5,105.87000274658205,105.87000274658205,22115800,0.0,0.0,0.0,0.0,3.0,0.0
2022-09-15,GOOG,105.01000213623048,106.20999908447266,103.30999755859376,103.9000015258789,103.9000015258789,26494900,0.8208,0.8208,1.6416,0.0,0.0,2.0
2022-09-16,GOOG,102.97000122070312,104.02999877929688,101.8550033569336,103.62999725341795,103.62999725341795,64540100,-0.02363333333333333,0.0,-0.07089999999999999,1.0,1.0,1.0
